ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(6.7825e+07)","Runtime Improvement""""(3.52359e+07)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
1,98.78,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.50,2.47,0.01,1.26,16,"    1,    1,    1","  128,    1,    1"
56,98.78,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.53,2.50,0.02,1.28,16,"    1,    1,    1","  128,    1,    1"
147,98.78,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.66,2.62,0.02,1.21,16,"    1,    1,    1","  128,    1,    1"
236,98.78,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.53,2.50,0.01,1.34,16,"    1,    1,    1","  128,    1,    1"
414,98.78,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.50,2.47,0.02,1.27,16,"    1,    1,    1","  128,    1,    1"
466,98.78,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.56,2.53,0.02,1.25,16,"    1,    1,    1","  128,    1,    1"
527,98.78,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.56,2.53,0.01,1.29,16,"    1,    1,    1","  128,    1,    1"
579,98.78,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),2.78,2.75,0.04,1.13,21,"    1,    1,    1","  128,    1,    1"
581,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",3.71,3.67,0.01,1.13,22,"    1,    1,    1","    1,    1,    1"
587,98.78,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),2.85,2.81,0.04,1.12,21,"    1,    1,    1","  128,    1,    1"
589,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",3.68,3.64,0.01,1.12,22,"    1,    1,    1","    1,    1,    1"
595,98.78,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),2.82,2.78,0.04,1.13,21,"    1,    1,    1","  128,    1,    1"
597,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",3.74,3.70,0.01,1.36,22,"    1,    1,    1","    1,    1,    1"
603,98.78,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),2.85,2.81,0.04,1.12,21,"    1,    1,    1","  128,    1,    1"
