ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(6.62212e+08)","Runtime Improvement""""(2.17447e+08)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
1164,43.02,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_aligna8_alignc4_execute_kernel__5x_cudnn,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_aligna8_alignc4_execute_kernel__5x_cudnn,3.58,1.54,52.31,86.04,104,"    2, 2747,    1","  128,    1,    1"
1168,43.03,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_aligna8_alignc4_execute_kernel__5x_cudnn,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_aligna8_alignc4_execute_kernel__5x_cudnn,3.57,1.54,52.32,86.06,104,"    2, 2747,    1","  128,    1,    1"
1241,0.71,_5x_cudnn_ampere_fp16_scudnn_fp16_128x64_relu_medium_nn_v1,_5x_cudnn_ampere_fp16_scudnn_fp16_128x64_relu_medium_nn_v1,3.48,0.02,73.90,45.24,128," 2747,    1,    1","  128,    1,    1"
1243,0.71,_5x_cudnn_ampere_fp16_scudnn_fp16_128x64_relu_medium_nn_v1,_5x_cudnn_ampere_fp16_scudnn_fp16_128x64_relu_medium_nn_v1,3.47,0.02,73.92,45.25,128," 2747,    1,    1","  128,    1,    1"
1235,41.10,implicit_convolve_sgemm,"void implicit_convolve_sgemm<__half, __half, 128, 5, 5, 3..1, 0..int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int..",3.44,1.41,66.05,54.81,86,"10988,    1,    1","    8,    8,    1"
1237,0.71,_5x_cudnn_ampere_fp16_scudnn_fp16_128x64_relu_small_nn_v1,_5x_cudnn_ampere_fp16_scudnn_fp16_128x64_relu_small_nn_v1,3.39,0.02,74.04,46.14,128," 2747,    1,    1","  128,    1,    1"
1239,0.71,_5x_cudnn_ampere_fp16_scudnn_fp16_128x64_relu_small_nn_v1,_5x_cudnn_ampere_fp16_scudnn_fp16_128x64_relu_small_nn_v1,3.39,0.02,74.02,46.13,128," 2747,    1,    1","  128,    1,    1"
1234,41.02,implicit_convolve_sgemm,"void implicit_convolve_sgemm<__half, __half, 128, 5, 5, 3..1, 0..int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int..",3.16,1.30,65.92,54.70,86,"10988,    1,    1","    8,    8,    1"
1204,28.48,Kernel,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_s16816fprop_optimized_f16_64x64_32x10_nhwc_align8>(T1::Params),3.16,0.90,52.42,71.52,96," 5494,    1,    1","  128,    1,    1"
1208,28.64,Kernel,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_s16816fprop_optimized_f16_64x64_32x10_nhwc_align8>(T1::Params),3.16,0.91,52.33,71.36,96," 5494,    1,    1","  128,    1,    1"
1160,62.76,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc4_execute_kernel__5x_cudnn,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc4_execute_kernel__5x_cudnn,2.95,1.85,48.36,71.88,144,"    2, 2747,    1","  128,    1,    1"
